"Variables ->","obs_l_gdp","obs_dl_cpi","obs_rs","obs_dl_cpi_targ","obs_rrs_ex"
"Comments ->","Real Gross Domestic Product","Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average","3-Month Treasury Bill Secondary Market Rate","",""
"Class[Size] ->","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]"
"1998Q3",9.40089387e+02,2.34147010e+00,4.82333333e+00,2.25000000e+00,2.63519657e+00
"1998Q4",9.41692656e+02,2.40520558e+00,4.25333333e+00,2.25000000e+00,2.41812775e+00
"1999Q1",9.42632057e+02,1.85221245e+00,4.40666667e+00,2.25000000e+00,2.40112088e+00
"1999Q2",9.43463590e+02,1.84367524e+00,4.45333333e+00,2.25000000e+00,2.56299142e+00
"1999Q3",9.44777941e+02,1.91150130e+00,4.65000000e+00,2.25000000e+00,2.54183204e+00
"1999Q4",9.46407373e+02,2.28180881e+00,5.04333333e+00,2.25000000e+00,2.36819119e+00
"2000Q1",9.46771158e+02,2.49504637e+00,5.52000000e+00,2.25000000e+00,2.54828697e+00
"2000Q2",9.48575366e+02,2.55447900e+00,5.71333333e+00,2.25000000e+00,2.96552100e+00
"2000Q3",9.48675091e+02,2.83583277e+00,6.01666667e+00,2.25000000e+00,2.87750056e+00
"2000Q4",9.49267693e+02,2.22469984e+00,6.01666667e+00,2.25000000e+00,3.79196683e+00
"2001Q1",9.48942946e+02,3.16731238e+00,4.81666667e+00,2.25000000e+00,2.84935429e+00
"2001Q2",9.49562412e+02,2.55965770e+00,3.66000000e+00,2.25000000e+00,2.25700897e+00
"2001Q3",9.49161260e+02,2.83302737e+00,3.17000000e+00,2.25000000e+00,8.26972630e-01
"2001Q4",9.49438190e+02,2.52548868e+00,1.90666667e+00,2.25000000e+00,6.44511318e-01
"2002Q1",9.50263006e+02,2.08053558e+00,1.72000000e+00,2.25000000e+00,-1.73868918e-01
"2002Q2",9.50876622e+02,1.85615182e+00,1.71333333e+00,2.25000000e+00,-1.36151823e-01
"2002Q3",9.51279339e+02,1.91846891e+00,1.64333333e+00,2.25000000e+00,-2.05135572e-01
"2002Q4",9.51409909e+02,1.62702497e+00,1.33333333e+00,2.25000000e+00,1.63083648e-02
"2003Q1",9.51925302e+02,1.47978677e+00,1.15666667e+00,2.25000000e+00,-1.46453433e-01
"2003Q2",9.52814713e+02,1.05364887e+00,1.04000000e+00,2.25000000e+00,1.03017800e-01
"2003Q3",9.54467869e+02,1.81977567e+00,9.30000000e-01,2.25000000e+00,-7.79775667e-01
"2003Q4",9.55615306e+02,1.67247630e+00,9.16666667e-01,2.25000000e+00,-7.42476304e-01
"2004Q1",9.56186588e+02,2.01162307e+00,9.16666667e-01,2.25000000e+00,-1.09495641e+00
"2004Q2",9.56962310e+02,2.75815608e+00,1.07666667e+00,2.25000000e+00,-1.84148941e+00
"2004Q3",9.57899155e+02,1.78265636e+00,1.48666667e+00,2.25000000e+00,-7.05989695e-01
"2004Q4",9.58915995e+02,2.52323742e+00,2.00666667e+00,2.25000000e+00,-1.03657075e+00
"2005Q1",9.60020753e+02,2.30470050e+00,2.53666667e+00,2.25000000e+00,-2.98033829e-01
"2005Q2",9.60506177e+02,2.15706623e+00,2.86333333e+00,2.25000000e+00,3.79600435e-01
"2005Q3",9.61288729e+02,1.34228314e+00,3.36000000e+00,2.25000000e+00,1.52105019e+00
"2005Q4",9.61855051e+02,2.60456718e+00,3.82666667e+00,2.25000000e+00,7.55432821e-01
"2006Q1",9.63194703e+02,2.58771741e+00,4.39333333e+00,2.25000000e+00,1.23894926e+00
"2006Q2",9.63439986e+02,2.89951846e+00,4.70333333e+00,2.25000000e+00,1.49381487e+00
"2006Q3",9.63590329e+02,2.74825226e+00,4.90666667e+00,2.25000000e+00,1.95508107e+00
"2006Q4",9.64430502e+02,2.14617213e+00,4.90333333e+00,2.25000000e+00,2.76049454e+00
